path,label
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents121_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents122_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents123_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents124_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents125_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents127_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents128_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents131_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents132_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents133_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Robbery/Robbery048_x264__5.npy,Robbery
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Robbery/Robbery050_x264__5.npy,Robbery
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Robbery/Robbery102_x264__5.npy,Robbery
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Robbery/Robbery106_x264__5.npy,Robbery
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Robbery/Robbery137_x264__5.npy,Robbery
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting002_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting004_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting007_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting008_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting010_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting011_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting013_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting015_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting018_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting019_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting021_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting022_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting024_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting026_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting028_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting032_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting033_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting034_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting037_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting043_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting046_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting047_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shooting/Shooting048_x264__5.npy,Shooting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting001_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting004_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting005_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting007_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting010_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting015_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting016_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting017_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting020_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting021_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting022_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting027_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting028_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting029_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting031_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting033_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting034_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting037_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting039_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting044_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Shoplifting/Shoplifting049_x264__5.npy,Shoplifting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Stealing/Stealing019_x264__5.npy,Stealing
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Stealing/Stealing036_x264__5.npy,Stealing
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Stealing/Stealing058_x264__5.npy,Stealing
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Stealing/Stealing062_x264__5.npy,Stealing
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Stealing/Stealing079_x264__5.npy,Stealing
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Vandalism/Vandalism007_x264__5.npy,Vandalism
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Vandalism/Vandalism015_x264__5.npy,Vandalism
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Vandalism/Vandalism017_x264__5.npy,Vandalism
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Vandalism/Vandalism028_x264__5.npy,Vandalism
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Vandalism/Vandalism036_x264__5.npy,Vandalism
